,phrase,label,sentiment,subjectivity,language,count
these last few days,these last few days,DATE,,,en,1
+4426 chars,+4426 chars,WORK_OF_ART,,,en,1
this week,this week,DATE,,,en,1
morning,morning,TIME,,,en,1
4,4,CARDINAL,,,en,1
first,first,ORDINAL,,,en,1
105.4mm,105.4mm,QUANTITY,,,en,1
69,69,CARDINAL,,,en,1
a dangerous week ahead,a dangerous week ahead,DATE,,,en,1
Earlier this week,Earlier this week,DATE,,,en,1
summer,summer,DATE,,,en,1
Hurricane Gabrielle,Hurricane Gabrielle,EVENT,,,en,1
2025,2025,CARDINAL,,,en,1
20 Years After,20 Years After,DATE,,,en,1
late August 2020,late August 2020,DATE,,,en,1
less than a week,less than a week,DATE,,,en,1
at least 44,at least 44,CARDINAL,,,en,1
"more than 16,000","more than 16,000",CARDINAL,,,en,1
"Nearly 30,000","Nearly 30,000",CARDINAL,,,en,1
barely more than a week,barely more than a week,DATE,,,en,1
At least 170,At least 170,CARDINAL,,,en,1
September 2025,September 2025,DATE,,,en,1
Thursday Oct. 9,Thursday Oct. 9,DATE,,,en,1
the U.S.,the U.S.,FAC,,,en,1
winter,winter,DATE,,,en,1
6.9,6.9,CARDINAL,,,en,1
coming days,coming days,DATE,,,en,1
At least 69,At least 69,CARDINAL,,,en,1
Oct. 23,Oct. 23,DATE,,,en,1
