,summary,Hazard,Mitigation,Impacts,Causes,word
tylenol and,2.9093597241120244,0.18812946958687554,-0.3375296363347722,-0.02344724871266449,-0.002865522457517568,tylenol and
vaccines,2.8973205060860225,0.1860322272974974,-0.3333829518955039,-0.022730600590011654,-0.0027076169227763292,vaccines
and vaccines,2.8973205060860225,0.1860322272974974,-0.3333829518955039,-0.022730600590011654,-0.0027076169227763292,and vaccines
/li,8.704041973439594,0.08626747720644559,-0.06351213993740198,-0.014548642154893274,-0.06018374127883464,/li
vaccines /li,2.866540572363816,0.18056601875567851,-0.3227025326782096,-0.02089141450881148,-0.002274838316362151,vaccines /li
What,7.488841139674495,0.16509526971586816,-0.07713273008420937,-0.015340468703942312,-0.19383055270071656,What
/li what,2.8460531105815625,0.1768420698059957,-0.31552976641587127,-0.019661023492384244,-0.0019634668794892987,/li what
should,10.399938485994129,-0.03755648729936049,0.1353289421464828,-0.07759201362494947,-0.015875063728351048,should
what should,2.833965785580331,0.17461195799150306,-0.3112736737977508,-0.018932532414141653,-0.0017709687367447827,what should
pregnant,2.817884457541184,0.17160607771797373,-0.30558301649263997,-0.01796013563245209,-0.0015046962960804896,pregnant
should pregnant,2.817884457541184,0.17160607771797373,-0.30558301649263997,-0.01796013563245209,-0.0015046962960804896,should pregnant
moms,2.798516066862831,0.16792553121895376,-0.29868590601276,-0.01678379913947034,-0.0011685079222558496,moms
pregnant moms,2.798516066862831,0.16792553121895376,-0.29868590601276,-0.01678379913947034,-0.0011685079222558496,pregnant moms
after,17.675328949205245,0.0035788758235793233,-0.1061912489063644,0.17196533805632783,-0.08971309436171984,after
moms after,2.782408835613661,0.16481330891171517,-0.29291364558866634,-0.015800902415467992,-0.0008759614159044729,moms after
after tylenol,2.938336935296503,0.19308626042670252,-0.34744035847244287,-0.0251666689187494,-0.003219542009829407,after tylenol
tylenol announcement,3.031790076117893,0.20824590559789835,-0.37874983471332285,-0.030672990903211673,-0.004113433798729514,tylenol announcement
Jimmy,2.717321142293631,0.15173814438648786,-0.26924312628293184,-0.011780406198299944,0.00042750367638195655,Jimmy
/li jimmy,2.717321142293631,0.15173814438648786,-0.26924312628293184,-0.011780406198299944,0.00042750367638195655,/li jimmy
Kimmel,2.708455472741253,0.14989247456556715,-0.2659751415973656,-0.011226043943825773,0.0006202683292677273,Kimmel
jimmy kimmel,2.708455472741253,0.14989247456556715,-0.2659751415973656,-0.011226043943825773,0.0006202683292677273,jimmy kimmel
return,3.5549304219828817,0.2518358201603694,-0.5379320966272545,-0.2875094942205433,0.2006416853044891,return
kimmel return,2.694380451639687,0.14692904679993685,-0.2607648952973211,-0.010342292890609912,0.0009338793112926132,kimmel return
air,4.343809016837216,0.274553089521987,-0.7383482222876767,0.020218289131447464,0.0246420159929711,air
return air,2.6811090346273136,0.1440967369169505,-0.2558271332531331,-0.009504730368824077,0.0012381471797309222,return air
Tuesd…,2.6760085366285944,0.14299822441336546,-0.25392293777037206,-0.009181696243016887,0.0013573047515613378,Tuesd…
air tuesd…,2.6760085366285944,0.14299822441336546,-0.25392293777037206,-0.009181696243016887,0.0013573047515613378,air tuesd…
+4585,2.666140344357437,0.14085689612494867,-0.25022846810457455,-0.008554854815427563,0.001591359645201661,+4585
tuesd… +4585,2.666140344357437,0.14085689612494867,-0.25022846810457455,-0.008554854815427563,0.001591359645201661,tuesd… +4585
chars,105.02997266365557,0.10578362157977089,-0.0757599346270794,-0.039477714090507716,-0.05731009466907416,chars
+4585 char+s,2.6590148058828973,0.13929745592860285,-0.24755228589908618,-0.008100678732076873,0.001763254359039036,+4585 char+s
'Green,3.544164333888207,-0.22497044651884673,0.0579270682791121,-0.08422827209620956,0.27288875318822453,'Green
scam,3.5766385314907723,-0.22894864877860677,0.05506057404094236,-0.0882114772107895,0.28127045420016933,scam
'green scam,3.5766385314907723,-0.22894864877860677,0.05506057404094236,-0.0882114772107895,0.28127045420016933,'green scam
watched,3.6505149528283196,-0.23847694822236082,0.0478580998976908,-0.09775574014809173,0.3011988752043551,watched
scam watched,3.6505149528283196,-0.23847694822236082,0.0478580998976908,-0.09775574014809173,0.3011988752043551,scam watched
drowning,3.7197657502022343,-0.24803476541712907,0.04023231031582843,-0.10733265132141653,0.3209217641280522,drowning
watched drowning,3.7197657502022343,-0.24803476541712907,0.04023231031582843,-0.10733265132141653,0.3209217641280522,watched drowning
nations,3.7869831838715298,-0.25790351142993706,0.032019741002028534,-0.1172221262297562,0.34094806618251,nations
drowning nations,3.7869831838715298,-0.25790351142993706,0.032019741002028534,-0.1172221262297562,0.34094806618251,drowning nations
leaders,7.858610120644566,-0.3058642361688368,0.06568147193275262,-0.17636933608700514,0.38762593359852476,leaders
nations leader+s,3.868187250426925,-0.2705940770743345,0.021059391060081215,-0.12993878368306505,0.3661340105886655,nations leader+s
leader+s trump,3.9714593422596343,-0.2878770385611244,0.005587215788477976,-0.14725405898596003,0.39933287972568604,leader+s trump
assails,4.0606442015860855,-0.303712120310718,-0.008992282827207914,-0.16311464100481013,0.428601124295267,assails
trump assails,4.0606442015860855,-0.303712120310718,-0.008992282827207914,-0.16311464100481013,0.428601124295267,trump assails
assails the,4.228365162983885,-0.33523647224488756,-0.03877742085784845,-0.19467862517915627,0.48362936574645643,assails the
ethos,4.353692342129563,-0.3597609500373332,-0.06240257238068139,-0.21922560702345698,0.5235924161866461,ethos
the ethos,4.353692342129563,-0.3597609500373332,-0.06240257238068139,-0.21922560702345698,0.5235924161866461,the ethos
climate,34.95715147525723,-0.6648008849632958,-1.0148231170996032,-0.4225435501773838,0.9772608856006614,climate
ethos climate,5.052412305479983,-0.49750013746111904,-0.19804006521471576,-0.3570228891348515,0.709731588668271,ethos climate
change,31.15324043088046,-0.6698802736374249,-1.0298935599238972,-0.41947841700724064,0.9799535569334696,change
climate chang+e,27.28270631736426,-0.6422626265523855,-1.141144409381546,-0.3615418897221615,0.9717539050223343,climate chang+e
Some,7.272617244598364,-0.31568282711611984,0.04989351864838283,-0.18405778088847888,0.4096895118447783,Some
chang+e some,4.562808064430834,-0.3750842875043031,-0.07185309698819643,-0.2347314471401886,0.5446101629433406,chang+e some
countries,7.5445121806162305,-0.18078820113950614,-0.00620366635812848,-0.23838470668655692,0.3713374711005858,countries
some countries,7.033572473785433,-0.30030839126204173,0.06392201686688137,-0.16825902346154692,0.3803567869144141,some countries
countries leader+s,6.321495790001827,-0.27148767075557556,0.08644140180610073,-0.13767889390718685,0.32396654990915025,countries leader+s
are,70.96856411059841,0.11196823810994164,-0.21025533176634198,-0.05427812749637146,0.05909025548838109,are
leader+s are,6.9536540062711785,-0.27503351994822217,0.09023323069411837,-0.1433092065451774,0.32727265459258953,leader+s are
watching,13.17756478852856,-0.08667689268576553,0.037200993713485724,-0.11709194986521397,0.17375005163080265,watching
are watching,11.938070147636612,-0.2562780611612448,0.13598427432616703,-0.13953532309865765,0.2725333322434842,are watching
rising,9.826285695211663,-0.2032259087893545,0.07031583538873867,-0.13946961452009835,0.2792947663893086,rising
watching rising,6.822767527793539,-0.3260804355701115,0.033688424889234916,-0.1927494851709636,0.43219470775007884,watching rising
seas,8.809892987054521,-0.49776771517374035,-0.22508854203662343,-0.4512177963133741,0.7489243568684485,seas
rising seas,7.329129741981897,-0.4005951434271906,-0.041070032257221396,-0.26719928653397207,0.556779387265118,rising seas
threaten,10.045769039808901,-0.21664765980825307,0.08160595045221042,-0.14427655429267244,0.285376224686641,threaten
seas threaten,6.869509681369545,-0.33131304877353607,0.02858830493609271,-0.19801758926838436,0.44171599053893834,seas threaten
swallow,6.740462667994493,-0.26882392036930264,0.09455967763144593,-0.1365169727621751,0.31483688916581576,swallow
threaten swallow,6.740462667994493,-0.26882392036930264,0.09455967763144593,-0.1365169727621751,0.31483688916581576,threaten swallow
their,17.978510394743154,-0.17821081525584287,0.1032700324963236,-0.15987397838442144,0.24196556632665142,their
swallow their,7.505648753402341,-0.22785775595283592,0.14567091743130994,-0.09917351296571987,0.21168443557946637,swallow their
homes,12.121846794466869,0.1506791987380628,-0.42565615768762655,-0.08825428453864584,0.1644646724114353,homes
their homes,7.639470480087642,-0.1540931184810387,0.03602489523922138,-0.07222568414075418,0.2148223593471688,their homes
Others,7.1616512290163925,-0.22701887637294368,0.14362551542637395,-0.09717383463366443,0.21135533290822076,Others
other+s are,7.4207190558974485,-0.21873740622773724,0.15465490095979126,-0.08999555966309528,0.18814675064501638,other+s are
watching their,8.178272040809969,-0.21076180841603517,0.1684676968966321,-0.0847661131340375,0.1632065882729475,watching their
citizens,10.12501577319198,-0.16075518634576508,0.17160885188070799,-0.09627979187952063,0.1158907517802372,citizens
their citizens,8.695059632511416,-0.2070466606828499,0.17531507298618107,-0.08280407251088978,0.15122582115274086,their citizens
floods,22.1372736489405,-0.09665197963041663,0.1002402935341434,0.09102014792848677,-0.05983304821529128,floods
citizens floods,11.576283378842756,-0.19442643353000091,0.19872966510861018,-0.07857042896206856,0.11067589926523153,citizens floods
hurricanes,98.3599924809849,-0.12266615687419323,0.2249104862655658,-0.08477380659224665,0.0014066453784016399,hurricanes
floods hurricanes,17.376467104060293,-0.18194029872767262,0.2197442042328194,-0.07798480600328672,0.07346600543134549,floods hurricanes
hurricanes and,10.727029309367506,-0.19918378652616145,0.19154649873952645,-0.08102217778368544,0.12520291927917868,hurricanes and
heat,12.488070910632485,-0.0878547309059465,0.09909952080709387,-0.02400736360834763,0.04356399001749094,heat
and heat,9.90416112912555,-0.2034244861519125,0.18442473229801445,-0.08288886874377156,0.13839641907838812,and heat
...,33.151576873412985,0.0833479714424163,-0.07455151952138281,-0.033484666285163625,-0.02653327514880688,...
heat ...,5.871785871191729,-0.18895954150791225,0.1697172922704774,-0.05534164750763014,0.11657021858233271,heat ...
NEW,5.615017015514759,-0.1900638833256644,0.16456353648562738,-0.0554634824249897,0.1230985820213156,NEW
... new,5.615017015514759,-0.1900638833256644,0.16456353648562738,-0.0554634824249897,0.1230985820213156,... new
YORK,5.4086808764276055,-0.19113650432683468,0.15983664768303796,-0.05574904855217972,0.12922517239890235,YORK
new york,5.4086808764276055,-0.19113650432683468,0.15983664768303796,-0.05574904855217972,0.12922517239890235,new york
york some,5.031427042041573,-0.19396842977731213,0.14915089757531874,-0.05715967699934179,0.14387317259038415,york some
heat waves,5.88668776216743,-0.20377161643714856,0.15385058921093714,-0.06988578847311908,0.15917412725876115,heat waves
all,14.574668770353302,-0.010787858221994033,0.040191399363632106,-0.0015687711554237588,-0.022872095715343092,all
waves all,5.574898115050682,-0.22140531365679297,0.12956783835307942,-0.0860178578821381,0.21087025502172682,waves all
exacerbated,5.487511910529234,-0.23868625202413676,0.10895215484111112,-0.10265348631384989,0.2560229743734356,exacerbated
all exacerbated,5.487511910529234,-0.23868625202413676,0.10895215484111112,-0.10265348631384989,0.2560229743734356,all exacerbated
climate…,5.883593961759226,-0.40142715044478516,-0.06424106643006884,-0.26375003121942353,0.5679709396258464,climate…
exacerbated climate…,5.883593961759226,-0.40142715044478516,-0.06424106643006884,-0.26375003121942353,0.5679709396258464,exacerbated climate…
+8116,5.0197963138333055,-0.2877515695812749,0.04373636342717178,-0.14937909511492986,0.3746461400808714,+8116
climate… +8116,5.0197963138333055,-0.2877515695812749,0.04373636342717178,-0.14937909511492986,0.3746461400808714,climate… +8116
+8116 char+s,4.796210491777925,-0.26509177527051137,0.06332854468035447,-0.12639440527340257,0.3294643220608464,+8116 char+s
Eclipses,2.430876497563635,-0.0566860150231151,0.3284226503009524,-0.15710470463705659,-0.1725943588199379,Eclipses
ragasa eclipses,2.430876497563635,-0.0566860150231151,0.3284226503009524,-0.15710470463705659,-0.1725943588199379,ragasa eclipses
Mangkhut,3.6867257684567094,0.15439619532060586,0.491224170323303,-0.5735915522593736,-0.5890812064422549,Mangkhut
eclipses mangkhut,2.4445874682379354,-0.05452831209438294,0.3330766947348181,-0.16272919777900732,-0.17821885196188886,eclipses mangkhut
Hong,5.451687558183744,0.06439755759227367,0.21754968251750717,-0.26147500702118165,-0.12166380278571237,Hong
mangkhut hong,2.4652585671141924,-0.05116517411313733,0.339788326846363,-0.17114951110936652,-0.18663916529224797,mangkhut hong
Kong,5.585777410955721,0.0724151755286868,0.21040914940246766,-0.26782639866438734,-0.12092714825372254,Kong
hong kong,5.585777410955721,0.0724151755286868,0.21040914940246766,-0.26782639866438734,-0.12092714825372254,hong kong
Wild,2.4893986625568325,-0.04708124201010457,0.34718526381780157,-0.1808939940642044,-0.19638364824708585,Wild
kong wild,2.4893986625568325,-0.04708124201010457,0.34718526381780157,-0.1808939940642044,-0.19638364824708585,kong wild
Weather,5.425229980105808,0.0711717250927746,0.08829916721643566,-0.20545472338687187,-0.021264076146796776,Weather
wild weather,3.09174789660071,0.021366293545690033,0.13835465035725572,-0.3975894070481894,0.12767929696064595,wild weather
Run,2.52083616424362,-0.04153292234104475,0.356151494341595,-0.19344347142879084,-0.20893312561167227,Run
weather run,2.52083616424362,-0.04153292234104475,0.356151494341595,-0.19344347142879084,-0.20893312561167227,weather run
run super,2.5319399907608884,-0.03951621034437209,0.3591481758952368,-0.19783861740450742,-0.21332827158738898,run super
fierce,3.2919910850858596,-0.012394096487621135,0.5709372649312091,-0.4603453884918813,-0.47583504267476273,fierce
ragasa fierce,3.2919910850858596,-0.012394096487621135,0.5709372649312091,-0.4603453884918813,-0.47583504267476273,ragasa fierce
winds,34.75282515118017,-0.005611769739889957,0.10603690831074611,0.04411731201667394,-0.15462504433547986,winds
fierce wind+s,3.3457820362837185,0.0028421718526330394,0.5694457457004526,-0.476553272600773,-0.4920429267836545,fierce wind+s
have,29.552222196944168,0.024912983121230144,-0.0307402926120708,0.02498494882613959,-0.03209380435665422,have
wind+s have,3.4056930920722266,0.01744290345773401,0.5691830060896056,-0.49430128389194095,-0.5097909380748225,wind+s have
kept,6.09353890802384,-0.08696430386270262,0.4155188625291321,-0.27985056879827763,-0.15795976474655163,kept
have kept,3.4686229032126397,0.03131817528230034,0.5695366272559512,-0.5126104710608902,-0.5281001252437717,have kept
kept hong,3.2630384599840796,0.0075062822205585215,0.5474436997282434,-0.4515116179710361,-0.4670012721539176,kept hong
kong most,3.86099515718294,0.10528682310496537,0.5706103328119536,-0.6197777767252776,-0.6352674309081591,kong most
severe,12.197074768737568,-0.011163547093748595,0.1858077313562349,0.11261141774796771,-0.34991278877220583,severe
most sever+e,4.105983516524308,0.14765160809939992,0.5657984322672609,-0.6812981178384526,-0.6967877720213341,most sever+e
storm,159.5907157980321,0.5400250435521612,-0.3786436567044075,-0.4557369029301392,-0.5011324888392785,storm
sever+e storm,4.907710489239036,0.2810478876531203,0.5165430321066862,-0.8596603513210616,-0.875150005503943,sever+e storm
warning,31.396632468370132,-0.17526891390354843,0.7187240644006325,-0.5769633937843971,-0.4603704032856733,warning
storm warning,4.904703282094625,-0.0026224673066853614,0.7742565919920817,-0.8590474119753225,-0.8745370661582041,storm warning
place,3.8928485588454156,0.025935420252160914,0.6449656469543346,-0.6279939807191137,-0.6434836349019951,place
warning place,3.8928485588454156,0.025935420252160914,0.6449656469543346,-0.6279939807191137,-0.6434836349019951,warning place
for,125.28693618241904,0.016819238279691395,0.06348644669722876,-0.055127817148634094,-0.03818579078998534,for
place for,3.6887469486146007,0.01733941894673405,0.6207371933828014,-0.5741396337955736,-0.5896292879784552,place for
for the,29.996439386516496,0.075715316602439,0.12270688461872392,-0.2024063287548863,-0.07007474134592166,for the
second-longest,3.513057194969566,0.005040353608088464,0.6004295778152557,-0.5253394678337787,-0.5408291220166602,second-longest
the second-longest,3.513057194969566,0.005040353608088464,0.6004295778152557,-0.5253394678337787,-0.5408291220166602,the second-longest
ever,7.867300022284763,0.1316499504078067,0.24547855322431408,-0.7079881267218153,0.006222606555630086,ever
second-longest ever,4.17269761128307,0.15900939509804296,0.563617180750042,-0.6974155495705943,-0.7129052037534758,second-longest ever
duration,3.4917933993344854,0.1010808171765723,0.5085974442024817,-0.5192682859683746,-0.534757940151256,duration
ever duration,3.4917933993344854,0.1010808171765723,0.5085974442024817,-0.5192682859683746,-0.534757940151256,ever duration
eclipsing,3.6503790996555336,0.19763589142393648,0.4352677110416353,-0.5636838388551825,-0.579173493038064,eclipsing
duration eclipsing,3.6503790996555336,0.19763589142393648,0.4352677110416353,-0.5636838388551825,-0.579173493038064,duration eclipsing
eclipsing storm,4.907710489239036,0.2810478876531203,0.5165430321066862,-0.8596603513210616,-0.875150005503943,eclipsing storm
storm mangkhut,3.2937472274091264,0.16096404136385056,0.39789451921832475,-0.4608787052686985,-0.47636835945157996,storm mangkhut
but,27.098465114266844,0.015407354421954195,0.12447156450674278,-0.13812845581704386,-0.0291795196171501,but
mangkhut but,3.484913333217593,0.16238864968836061,0.4415650220146461,-0.5172959891209084,-0.5327856433037896,mangkhut but
falling,6.012286460431297,0.07477584933748163,0.23137831795020256,-0.2714973132275789,-0.151220397278492,falling
but falling,3.416376358724789,0.13352102152077117,0.4585432215640784,-0.4974332588630346,-0.5129229130459161,but falling
short,3.321907161000196,0.08912910034555314,0.4837322568536003,-0.46939187781663894,-0.48488153199952044,short
falling short,3.321907161000196,0.08912910034555314,0.4837322568536003,-0.46939187781663894,-0.48488153199952044,falling short
all-out,3.252401164231955,0.04698558753968483,0.5089234825743874,-0.4482463570471957,-0.4637360112300771,all-out
short all-out,3.252401164231955,0.04698558753968483,0.5089234825743874,-0.4482463570471957,-0.4637360112300771,short all-out
record,16.583366904733104,-0.0835474389429858,0.24811323130394616,-0.10282316541498483,-0.06523551710891975,record
all-out record,3.275623576827977,0.04970141849237708,0.5117628362140592,-0.45536106983560876,-0.4708507240184903,all-out record
The,93.96793302530801,0.08877560228022761,-0.04152433402369997,0.00629000878715476,-0.1080224476157172,The
city,2.9146282921597892,0.03007444630305202,0.4333561296140077,-0.3385951098523908,-0.3540847640352722,city
the city,2.9146282921597892,0.03007444630305202,0.4333561296140077,-0.3385951098523908,-0.3540847640352722,the city
highest,3.07360165740634,0.06902289872215592,0.4409653597632,-0.3917028660062866,-0.40719252018916813,highest
city highest,3.07360165740634,0.06902289872215592,0.4409653597632,-0.3917028660062866,-0.40719252018916813,city highest
highest storm,3.544707058085086,0.19075626476272278,0.4214369427100093,-0.53430833506752,-0.5497979892504015,highest storm
alert,19.67819009821132,-0.2553338941975971,0.6166655518943198,-0.23231300611131225,-0.35791231937874407,alert
storm aler+t,3.5532318275972683,-0.036411578839222976,0.6406776829634648,-0.5367103770541686,-0.5522000312370501,storm aler+t
signal,3.122070504312637,-0.017404994305454894,0.5358474247374438,-0.4073492186328658,-0.4228388728157472,signal
aler+t signal,3.122070504312637,-0.017404994305454894,0.5358474247374438,-0.4073492186328658,-0.4228388728157472,aler+t signal
Th…,2.5115757139356525,-0.004694362591250953,0.31297322443608777,-0.18976314438691932,-0.20525279856980067,Th…
+1874,2.4984648005875623,-0.009898281740763386,0.3123413878833959,-0.1845292772198146,-0.20001893140269608,+1874
th… +1874,2.4984648005875623,-0.009898281740763386,0.3123413878833959,-0.1845292772198146,-0.20001893140269608,th… +1874
+1874 chars,2.484222572539064,-0.015365437433137138,0.3113432045270379,-0.17881257626345137,-0.19430223044633269,+1874 chars
batters,2.2476341921926544,-0.07386898859271476,-0.07947479833620474,-0.07873100663204034,0.22341684348742802,batters
ragasa batters,2.2476341921926544,-0.07386898859271476,-0.07947479833620474,-0.07873100663204034,0.22341684348742802,ragasa batters
batters hong,2.253082244571971,-0.07628996094981844,-0.08189577069330846,-0.0811519789891441,0.22946028919203956,batters hong
kong and,2.260683974565968,-0.07965820680562635,-0.08526401654911638,-0.08452022484495213,0.2377840801704159,kong and
southern,9.12894921696479,-0.19173955141086205,-0.1406885551701134,0.220143059826484,0.13862353374300346,southern
and southern,3.3455334727738903,-0.3532515245710388,-0.4772227699424593,0.6888981978233568,-0.14909896639015002,and southern
China,3.59038548976347,0.15364142301703265,-0.5478561809387006,-0.5471123892345362,0.4490984763695041,China
southern china,2.9908368091287065,0.08729771281090352,-0.3651498229593123,-0.36440603125514803,0.3741102697004094,southern china
china typhoon,2.8348229227440163,0.0521886089186946,-0.311576079554719,-0.3108322878505547,0.3614323752039019,china typhoon
whipped,2.58968777154588,-0.09716267698542146,-0.2211339223568419,-0.22039013065267749,0.41613831931677814,whipped
ragasa whipped,2.2965098855626884,-0.09538132509120299,-0.10098713483469297,-0.1002433431305286,0.27539515302860607,ragasa whipped
whipped waves,2.612095867168183,-0.10577827339943047,-0.22974951877085115,-0.22900572706668684,0.4322400833062854,whipped waves
taller,2.6315250814034115,-0.11318891705308924,-0.2371601624245097,-0.2364163707203454,0.44577728788709126,taller
waves taller,2.6315250814034115,-0.11318891705308924,-0.2371601624245097,-0.2364163707203454,0.44577728788709126,waves taller
than,12.480181306068951,0.20305593585783419,-0.4536215217473279,-0.07907863641618333,0.09233109642681865,than
